,armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,t_team_clan_name,t_side,tick,total_rounds_played,user_X,user_Y,user_Z,user_health,user_place,user_name,user_steamid,user_team_clan_name,user_side,user_total_rounds_played,weapon
197,78,222.65527,1601.8042,110.83338,99.0,Banana,broky,7.65611982016205e+16,FaZe Clan,t,6.0,Natus Vincere,ct,7,10,67,generic,FaZe Clan,t,64428,6,1036.9694,1883.8594,144.03125,77,Banana,jL,76561198176878303,Natus Vincere,ct,6,hegrenade
198,100,214.08556,1449.206,108.7579,87.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,6.0,Natus Vincere,ct,0,1,99,generic,FaZe Clan,t,64711,6,809.8121,2473.6304,136.03146,100,BombsiteB,iM,76561198050250233,Natus Vincere,ct,6,inferno
199,71,658.0315,2534.158,144.39511,99.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,6,9,61,generic,FaZe Clan,t,64781,6,316.358,1966.1268,145.71365,70,Banana,karrigan,76561197989430253,FaZe Clan,t,6,hegrenade
200,98,658.0315,2534.158,144.39511,99.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,2,4,95,generic,FaZe Clan,t,64781,6,144.17783,1603.3191,108.76447,99,Banana,broky,76561198201620490,FaZe Clan,t,6,hegrenade
201,91,658.0315,2534.158,144.39511,99.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,1,2,85,generic,FaZe Clan,t,64781,6,241.23093,1496.621,113.81766,87,Banana,frozen,76561198068422762,FaZe Clan,t,6,hegrenade
205,100,368.01392,1785.4148,130.72424,85.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,6.0,Natus Vincere,ct,0,8,91,generic,FaZe Clan,t,65095,6,852.5539,2469.5872,140.0843,99,BombsiteB,iM,76561198050250233,Natus Vincere,ct,6,inferno
206,100,403.8924,1772.2241,134.03122,85.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,6.0,Natus Vincere,ct,0,8,83,generic,FaZe Clan,t,65108,6,863.9686,2426.2283,140.0843,91,BombsiteB,iM,76561198050250233,Natus Vincere,ct,6,inferno
208,100,422.21344,1759.1844,134.03122,85.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,6.0,Natus Vincere,ct,0,8,75,generic,FaZe Clan,t,65121,6,863.9686,2380.6597,140.0843,83,BombsiteB,iM,76561198050250233,Natus Vincere,ct,6,inferno
218,51,864.8366,2239.7754,140.0843,0.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,30,46,0,generic,FaZe Clan,t,65303,6,342.8293,1825.5875,129.07664,37,Banana,frozen,76561198068422762,FaZe Clan,t,6,hegrenade
219,73,864.8366,2239.7754,140.0843,0.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,27,41,59,generic,FaZe Clan,t,65303,6,267.68335,1726.3066,119.67381,100,Banana,rain,76561197997351207,FaZe Clan,t,6,hegrenade
