,armor,attacker_4k_rounds_total,attacker_X,attacker_Y,attacker_Z,attacker_ct_losing_streak,attacker_current_equip_value,attacker_health,attacker_is_ct_timeout,attacker_is_terrorist_timeout,attacker_place,attacker_name,attacker_steamid,attacker_t_losing_streak,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_losing_streak,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,is_ct_timeout,is_terrorist_timeout,t_losing_streak,t_team_clan_name,t_side,tick,total_rounds_played,user_4k_rounds_total,user_X,user_Y,user_Z,user_ct_losing_streak,user_current_equip_value,user_health,user_is_ct_timeout,user_is_terrorist_timeout,user_place,user_name,user_steamid,user_t_losing_streak,user_team_clan_name,user_side,user_total_rounds_played,weapon,total_dmg
136,87,0.0,495.7122,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,5,82,generic,False,False,2.0,FaZe Clan,t,47055,4,0.0,863.4449,2651.5261,140.0843,0.0,4100.0,87,False,False,BombsiteB,ropz,76561197991272318,2.0,FaZe Clan,t,4,inferno,5
139,0,0.0,471.5292,2442.3672,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,6,70,generic,False,False,2.0,FaZe Clan,t,47068,4,0.0,646.07416,2495.392,189.03125,0.0,400.0,76,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,6
140,81,0.0,471.5292,2442.3672,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,6,24,generic,False,False,2.0,FaZe Clan,t,47068,4,0.0,867.0536,2659.227,140.0843,0.0,4100.0,30,False,False,BombsiteB,ropz,76561197991272318,2.0,FaZe Clan,t,4,inferno,6
142,0,0.0,436.99713,2443.8591,168.03123,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,7,63,generic,False,False,2.0,FaZe Clan,t,47081,4,0.0,652.332,2517.9153,189.03125,0.0,400.0,70,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,7
143,0,0.0,436.99713,2443.8591,168.03123,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,7,61,generic,False,False,2.0,FaZe Clan,t,47081,4,0.0,863.9711,2561.9346,140.0843,0.0,200.0,68,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,7
144,0,0.0,430.85794,2439.876,168.03123,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,55,generic,False,False,2.0,FaZe Clan,t,47093,4,0.0,653.7525,2521.7908,189.03125,0.0,400.0,63,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,8
145,0,0.0,430.85794,2439.876,168.03123,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,53,generic,False,False,2.0,FaZe Clan,t,47093,4,0.0,863.44324,2603.7805,140.0843,0.0,200.0,61,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,8
146,0,0.0,451.02045,2442.2515,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,47,generic,False,False,2.0,FaZe Clan,t,47106,4,0.0,649.8798,2523.8518,189.03125,0.0,400.0,55,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,8
147,0,0.0,451.02045,2442.2515,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,45,generic,False,False,2.0,FaZe Clan,t,47106,4,0.0,860.6462,2643.3154,140.0843,0.0,2900.0,53,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,8
150,0,0.0,485.9476,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,39,generic,False,False,2.0,FaZe Clan,t,47119,4,0.0,646.9667,2544.556,189.03125,0.0,400.0,47,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,8
151,0,0.0,485.9476,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,37,generic,False,False,2.0,FaZe Clan,t,47119,4,0.0,858.06415,2663.87,140.0843,0.0,2900.0,45,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,8
153,0,0.0,493.34018,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,31,generic,False,False,2.0,FaZe Clan,t,47132,4,0.0,630.5149,2551.9243,202.68596,0.0,400.0,39,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,8
154,0,0.0,493.34018,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,29,generic,False,False,2.0,FaZe Clan,t,47132,4,0.0,861.82104,2638.676,140.0843,0.0,2900.0,37,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,8
